À quelle marque française de bière doit-on le slogan « Quatre chiffres. Une bière. » ?;1832;1789;1515;1664;4
Quelle compagnie aérienne « fait du ciel le plus bel endroit de la terre » ?;Air Corsica;Air France;Airbus Transport;Twin Jet;2
Dans la série X-Files, quel est le prénom de la sœur de Fox Mulder ?;Ann;Sarah;Samantha;Catherine;3
Dans quelle série télévisée Angela Lansbury interprète-t-elle le rôle de Jessica Fletcher ?;Arabesque;Friends;Médicopter;Urgences;1
Quel assureur européen, cinquième gestionnaire d'actifs au monde, est « avec vous de A à Z » ?;Axa;Generali;Allianz;Aviva;3
Quelle est la race du chien de Columbo, l'inspecteur très obstiné et perspicace de la télévision ?;Barbet;Beagle;Bichon;Basset;4
Qui est le plus costaud des héros télévisés de la célèbre Agence tous risques ?;Barracuda;Hannibal;Futé;Looping;1
Quelle est la couleur du maillot des sauveteurs de la série Alerte à Malibu ?;Bleue;Verte;Rouge;Jaune;3
Quelle est la couleur des cheveux de Miranda dans la série Sex and the City ?;Blonde;Brune;Rousse;Noire;3
Pour qui travaillent les Drôles de dames, diffusées entre 1976 et 1981 sur le réseau ABC ?;Bosley;Charlie;Michael;Tatoo;2
Quel est le nom de la famille de Buffy dans la série Buffy contre les vampires ?;Bouwers;Rogers;Sanders;Summers;4
Quelle marque vous garantit « le goût des choses simples » ?;Buitoni;Herta;Maggi;Purina;2
Dans quelle ville se déroulent les aventures des Desperate Housewives ?;Chicago;Wisteria;Los Angeles;Fairview;4
Quel détaillant vous invite au « pays où la vie est moins chère » ?;Conforama;Bricoman;Darty;Pixmania;1
Quel village la famille Ingalls habite-t-elle dans La Petite Maison dans la prairie ?;Dakota Springs;Walnut Grove;Ingalls Valley;Sailor Fields;2
Par quoi est représenté le logo de la marque Adidas, spécialisée dans les articles de sport ?;Deux bandes;Trois cercles;Trois bandes;Trois losanges;3
Quelle marque de jeans mondialement connue fabrique le célèbre 501 ?;Diesel;Lee Cooper;C17;Levis;4
Dans quelle série télévisée Wentworth Miller incarne-t-il Michael Scofield ?;Dr House;Prison Break;Lost;Friends;2
Quelle héroïne de la série télévisée Ma sorcière bien aimée est mariée à Jean-Pierre ?;Esmeralda;Endora;Tabatha;Samantha;4
Quelle marque spécialisée en eaux minérales a pour logo un volcan de couleur verte ?;Evian;Volvic;Henniez;Thonon;2
Créée en 1971, quelle est « la plus chaude des boissons froides » ?;Gini;Nestea;Canada Dry;Schweppes;1
Quelle grande marque de matériel informatique a pour logo une pomme ?;IBM;Apple;Acer;Dell;2
Qui est le créateur de la série télévisée américaine à succès Alias ?;J.J. Williams;J.J. Lionel;J.J. Morgan;J.J. Abrams;4
De quelle filiale du groupe Nestlé George Clooney est-il devenu le séduisant ambassadeur ?;Jacques Vabre;Carte Noire;Ricoré;Nespresso;4
Quelle marque vous invite à savourer « un café nommé désir » ?;Jacques Vabre;Ricoré;Nespresso;Carte Noire;4
Qui joua le rôle de Donna Martin dans la série télévisée Beverly Hills 90210 ?;Jenny Garth;Tori Spelling;Hillary Swank;Carol Potter;2
Qui est le meilleur ami de Dawson dans la série télévisée du même nom ?;Joey;Pacey;Jack;Dan;2
Qui joue le rôle du Président Bartlet dans la série télévisée À la Maison Blanche ?;John Spencer;Rob Lowe;Martin Sheen;Gary Cole;3
Quelle bière belge utilise comme slogan « Les hommes savent pourquoi » ?;Jupiler;Maes;Stella Artois;Gueuze;1
Qui détient le rôle principal dans la série télévisée américaine Dr House ?;Kiefer Sutherland;Thomas Sarbacher;Matthew Fox;Hugh Laurie;4
Quel est le nom de la célèbre voiture que David Hasselhoff pilotait dans K2000 ?;Kitt;Kate;Kytie;Katy;1
Quelle marque a fabriqué les premiers mouchoirs en papier jetables ?;Labell;Lotus;Kleenex;Renova;3
Quelle marque de parfum doit en partie sa célébrité à Marilyn Monroe ?;Lancôme;Gucci;Chanel;Cacharel;3
Quel sport est pratiqué par Lukas dans la série télé Les Frères Scott ?;Le baseball;Le basket-ball;Le hockey;Le football;2
Pour quelle civilisation a-t-on créé une langue artificielle dans le monde de Star Trek ?;Les Sylvidres;Les Romuliens;Les Vulcains;Les Klingons;4
Dans quelle ville peut-on retrouver sur les écrans le lieutenant Horatio Caine ?;Los Angeles;New York;Las Vegas;Miami;4
Qui incarne Isabel Evans dans la série télévisée américaine Roswell ?;Majandra Delfino;Shiri Appleby;Katherine Heigl;Poppy Montgomery;3
Dans quelle série Aaron Hotchner perce-t-il les pensées des tueurs en série ?;Mentalist;Person of Interest;Esprits criminels;The Walking Dead;3
La Cayenne est un modèle de quelle marque automobile allemande ?;Mercedes;Porsche;Volkswagen;Audi;2
La publicité de quelle marque de chocolat a été inspirée par la couleur mauve ?;Milka;Kwatta;Smarties;Treets;1
Quelle marque de café avait pour emblème un serveur noir avec un turban ?;Négresco;Ricoré;Melita;Barista;1
« Secouez-moi, secouez-moi » a longtemps été le slogan de quelle grande marque ?;Orangina;Pepsi;Coca-Cola;Schweppes;1
De quelle poudre chocolatée pourriez-vous avoir « une énorme envie » ?;Ovomaltine;Milka;Banania;Nesquik;4
Qui est la sœur aînée des héroïnes de la série télévisée américaine Charmed ?;Paige;Piper;Buffy;Prue;4
Quel gouverneur hollandais a donné son nom à des cigarettes blondes ?;Pieter Codde;Pieter de Graeff;Pieter Stuyvesant;Pieter De Grebber;3
Quel médecin Georges Clooney incarne-t-il dans la série télévisée Urgences ?;Prison Break;Mark Green;Douglas Ross;Dylan Creed;3
Quelle marque de surf a été inspirée, pour son logo, par une estampe japonaise ?;Quiksilver;Oxbow;Rip Curl;Rusty;1
Lequel de ces personnages ne fait pas partie de la bande de copains de Friends ?;Ross;Chandler;Joey;Matt;4
Qui interprète le rôle de Ling dans la série télévisée américaine Ally McBeal ?;Sarah Jessica Parker;Linda Fiorentino;Lucy Liu;Calista Flockhart;3
Quel bouquet satellite vous propose « le meilleur du numérique » ?;SFR;TPS;Canalsat;Bouygues;3
Combien de saisons compte la série télévisée Lost, les disparus créée par J.J. Abrams ?;Six;Huit;Quatre;Deux;1
Dans laquelle de ces séries télévisées trouve-t-on un super-héros ?;Stargate;Le Caméléon;Profiler;Smallville;4
Quelle enseigne vous invite à rester « tous unis contre la vie chère » ?;Super U;Cora;Intermarché;Carrefour;3
Quel acteur a réalisé certaines publicités de la marque Orangina ?;Thierry Lhermitte;Michel Blanc;Gérard Jugnot;Alain Chabat;4
Quel animal est représenté sur les vêtements de la marque Lacoste ?;Un crocodile;Un ours;Un taureau;Un chameau;1
Quel emblème est utilisé dans toutes les stations de la marque Shell ?;Un lion rouge;Un coquillage jaune;Un trèfle vert;Un soleil bleu;2
La première image du générique de la série MacGyver présente une main avec quel objet ?;Un passeport;Un briquet;Un couteau suisse;Un gant de cuir;1
Quelle chaîne de magasins française est un « agitateur de curiosité » ?;Virgin;Fnac;HMV;Sony;2
Quelle entreprise française vous propose son « contrat de confiance » ?;Virgin;Orange;Free;Darty;4
Une marque de whisky écossais extrêmement populaire se nomme Johnnie...;Walker;Parker;Bunker;Monster;1
